Año,Trimestre,Provincia,Accesos por cada 100 hogares,Rango
2022,4,Buenos Aires,78.94,"(70, 80]"
2022,4,Capital Federal,122.73,
2022,4,Catamarca,65.77,"(60, 70]"
2022,4,Chaco,43.62,"(40, 50]"
2022,4,Chubut,85.57,"(80, 90]"
2022,4,Córdoba,89.03,"(80, 90]"
2022,4,Corrientes,51.64,"(50, 60]"
2022,4,Entre Ríos,64.01,"(60, 70]"
2022,4,Formosa,39.41,"(30, 40]"
2022,4,Jujuy,58.46,"(50, 60]"
2022,4,La Pampa,94.8,"(90, 100]"
2022,4,La Rioja,79.86,"(70, 80]"
2022,4,Mendoza,51.36,"(50, 60]"
2022,4,Misiones,52.85,"(50, 60]"
2022,4,Neuquén,78.67,"(70, 80]"
2022,4,Río Negro,68.42,"(60, 70]"
2022,4,Salta,57.96,"(50, 60]"
2022,4,San Juan,50.88,"(50, 60]"
2022,4,San Luis,90.27,"(90, 100]"
2022,4,Santa Cruz,43.53,"(40, 50]"
2022,4,Santa Fe,78.4,"(70, 80]"
2022,4,Santiago Del Estero,48.05,"(40, 50]"
2022,4,Tierra Del Fuego,101.44,
2022,4,Tucumán,61.04,"(60, 70]"
2022,3,Buenos Aires,78.11,"(70, 80]"
2022,3,Capital Federal,122.28,
2022,3,Catamarca,65.33,"(60, 70]"
2022,3,Chaco,43.86,"(40, 50]"
2022,3,Chubut,84.38,"(80, 90]"
2022,3,Córdoba,88.31,"(80, 90]"
2022,3,Corrientes,48.21,"(40, 50]"
2022,3,Entre Ríos,63.67,"(60, 70]"
2022,3,Formosa,43.76,"(40, 50]"
2022,3,Jujuy,58.91,"(50, 60]"
2022,3,La Pampa,96.59,"(90, 100]"
2022,3,La Rioja,80.66,"(80, 90]"
2022,3,Mendoza,51.03,"(50, 60]"
2022,3,Misiones,51.82,"(50, 60]"
2022,3,Neuquén,80.37,"(80, 90]"
2022,3,Río Negro,67.98,"(60, 70]"
2022,3,Salta,57.76,"(50, 60]"
2022,3,San Juan,50.8,"(50, 60]"
2022,3,San Luis,81.74,"(80, 90]"
2022,3,Santa Cruz,43.19,"(40, 50]"
2022,3,Santa Fe,78.55,"(70, 80]"
2022,3,Santiago Del Estero,47.98,"(40, 50]"
2022,3,Tierra Del Fuego,99.51,"(90, 100]"
2022,3,Tucumán,61.14,"(60, 70]"
2022,2,Buenos Aires,77.58,"(70, 80]"
2022,2,Capital Federal,121.31,
2022,2,Catamarca,62.4,"(60, 70]"
2022,2,Chaco,43.79,"(40, 50]"
2022,2,Chubut,83.19,"(80, 90]"
2022,2,Córdoba,87.48,"(80, 90]"
2022,2,Corrientes,48.35,"(40, 50]"
2022,2,Entre Ríos,63.9,"(60, 70]"
2022,2,Formosa,43.42,"(40, 50]"
2022,2,Jujuy,57.32,"(50, 60]"
2022,2,La Pampa,92.98,"(90, 100]"
2022,2,La Rioja,80.14,"(80, 90]"
2022,2,Mendoza,49.39,"(40, 50]"
2022,2,Misiones,51.0,"(50, 60]"
2022,2,Neuquén,80.02,"(80, 90]"
2022,2,Río Negro,67.85,"(60, 70]"
2022,2,Salta,57.54,"(50, 60]"
2022,2,San Juan,49.46,"(40, 50]"
2022,2,San Luis,81.76,"(80, 90]"
2022,2,Santa Cruz,43.15,"(40, 50]"
2022,2,Santa Fe,77.9,"(70, 80]"
2022,2,Santiago Del Estero,47.7,"(40, 50]"
2022,2,Tierra Del Fuego,99.86,"(90, 100]"
2022,2,Tucumán,59.31,"(50, 60]"
2022,1,Buenos Aires,76.07814661157262,"(70, 80]"
2022,1,Capital Federal,111.79786269174652,
2022,1,Catamarca,58.20635083561171,"(50, 60]"
2022,1,Chaco,44.05948009941883,"(40, 50]"
2022,1,Chubut,88.05274093835774,"(80, 90]"
2022,1,Córdoba,85.75745356313551,"(80, 90]"
2022,1,Corrientes,47.644635141502334,"(40, 50]"
2022,1,Entre Ríos,63.70090347123158,"(60, 70]"
2022,1,Formosa,34.955686995751336,"(30, 40]"
2022,1,Jujuy,58.06462866426784,"(50, 60]"
2022,1,La Pampa,91.66332531408715,"(90, 100]"
2022,1,La Rioja,78.77459866564503,"(70, 80]"
2022,1,Mendoza,48.73524093558345,"(40, 50]"
2022,1,Misiones,49.04334199772953,"(40, 50]"
2022,1,Neuquén,74.17305509992715,"(70, 80]"
2022,1,Río Negro,67.03640754987029,"(60, 70]"
2022,1,Salta,56.10759340849759,"(50, 60]"
2022,1,San Juan,43.54598160933163,"(40, 50]"
2022,1,San Luis,80.72423060601774,"(80, 90]"
2022,1,Santa Cruz,43.33842311053054,"(40, 50]"
2022,1,Santa Fe,77.30458474758402,"(70, 80]"
2022,1,Santiago Del Estero,47.17273839324049,"(40, 50]"
2022,1,Tierra Del Fuego,98.29055038672794,"(90, 100]"
2022,1,Tucumán,57.39003227231194,"(50, 60]"
2021,4,Buenos Aires,75.66410602338475,"(70, 80]"
2021,4,Capital Federal,111.27002612891737,
2021,4,Catamarca,55.2526999859741,"(50, 60]"
2021,4,Chaco,44.04856389025934,"(40, 50]"
2021,4,Chubut,82.57340063871433,"(80, 90]"
2021,4,Córdoba,84.50941853046088,"(80, 90]"
2021,4,Corrientes,45.51016102946347,"(40, 50]"
2021,4,Entre Ríos,63.155361436165784,"(60, 70]"
2021,4,Formosa,34.4545746388443,"(30, 40]"
2021,4,Jujuy,56.921070514870486,"(50, 60]"
2021,4,La Pampa,89.56734270241313,"(80, 90]"
2021,4,La Rioja,77.9234900964576,"(70, 80]"
2021,4,Mendoza,47.505317090317746,"(40, 50]"
2021,4,Misiones,49.06462073058497,"(40, 50]"
2021,4,Neuquén,73.30016254020012,"(70, 80]"
2021,4,Río Negro,65.69489961160652,"(60, 70]"
2021,4,Salta,56.81442605762217,"(50, 60]"
2021,4,San Juan,39.588851864871685,"(30, 40]"
2021,4,San Luis,80.29578283135379,"(80, 90]"
2021,4,Santa Cruz,43.05121466117346,"(40, 50]"
2021,4,Santa Fe,77.08920179439227,"(70, 80]"
2021,4,Santiago Del Estero,47.0459491943867,"(40, 50]"
2021,4,Tierra Del Fuego,98.40061644865433,"(90, 100]"
2021,4,Tucumán,55.92599102424391,"(50, 60]"
2021,3,Buenos Aires,71.68218940101933,"(70, 80]"
2021,3,Capital Federal,111.27105514250894,
2021,3,Catamarca,52.709793486001274,"(50, 60]"
2021,3,Chaco,42.96241007967663,"(40, 50]"
2021,3,Chubut,80.70973847657562,"(80, 90]"
2021,3,Córdoba,81.2845665540848,"(80, 90]"
2021,3,Corrientes,44.90088312664412,"(40, 50]"
2021,3,Entre Ríos,62.17940145385769,"(60, 70]"
2021,3,Formosa,33.962033540684324,"(30, 40]"
2021,3,Jujuy,55.6892647441935,"(50, 60]"
2021,3,La Pampa,84.27996309653611,"(80, 90]"
2021,3,La Rioja,77.26016061386845,"(70, 80]"
2021,3,Mendoza,45.54828468056102,"(40, 50]"
2021,3,Misiones,45.57065365808786,"(40, 50]"
2021,3,Neuquén,69.70653344501615,"(60, 70]"
2021,3,Río Negro,61.967213114754095,"(60, 70]"
2021,3,Salta,55.964278059584196,"(50, 60]"
2021,3,San Juan,39.4554480019856,"(30, 40]"
2021,3,San Luis,79.87043349212911,"(70, 80]"
2021,3,Santa Cruz,43.74732028012005,"(40, 50]"
2021,3,Santa Fe,75.01704762728227,"(70, 80]"
2021,3,Santiago Del Estero,47.0,"(40, 50]"
2021,3,Tierra Del Fuego,94.95386825985027,"(90, 100]"
2021,3,Tucumán,54.63604486100796,"(50, 60]"
2021,2,Buenos Aires,70.00330336027972,"(70, 80]"
2021,2,Capital Federal,110.14440203212098,
2021,2,Catamarca,52.34030966263861,"(50, 60]"
2021,2,Chaco,43.32762729293539,"(40, 50]"
2021,2,Chubut,72.29410481936469,"(70, 80]"
2021,2,Córdoba,80.11518795931242,"(80, 90]"
2021,2,Corrientes,43.5411637336848,"(40, 50]"
2021,2,Entre Ríos,61.660264464787886,"(60, 70]"
2021,2,Formosa,33.22548419322613,"(30, 40]"
2021,2,Jujuy,56.182157011467694,"(50, 60]"
2021,2,La Pampa,82.08000672325404,"(80, 90]"
2021,2,La Rioja,76.9786615851933,"(70, 80]"
2021,2,Mendoza,40.97324182617088,"(40, 50]"
2021,2,Misiones,45.0128113119994,"(40, 50]"
2021,2,Neuquén,69.14021084638621,"(60, 70]"
2021,2,Río Negro,61.94204057417748,"(60, 70]"
2021,2,Salta,54.930090174788894,"(50, 60]"
2021,2,San Juan,39.28402570062062,"(30, 40]"
2021,2,San Luis,83.47810720063075,"(80, 90]"
2021,2,Santa Cruz,44.01491665543425,"(40, 50]"
2021,2,Santa Fe,75.06878626293008,"(70, 80]"
2021,2,Santiago Del Estero,46.557275364921054,"(40, 50]"
2021,2,Tierra Del Fuego,67.88580775229184,"(60, 70]"
2021,2,Tucumán,54.928196510348045,"(50, 60]"
2021,1,Buenos Aires,69.10524076185938,"(60, 70]"
2021,1,Capital Federal,108.4199392232935,
2021,1,Catamarca,48.899092927848244,"(40, 50]"
2021,1,Chaco,43.13649241708794,"(40, 50]"
2021,1,Chubut,68.9942808881567,"(60, 70]"
2021,1,Córdoba,78.59028062380018,"(70, 80]"
2021,1,Corrientes,42.664128438821415,"(40, 50]"
2021,1,Entre Ríos,60.439449728342346,"(60, 70]"
2021,1,Formosa,32.732955756327215,"(30, 40]"
2021,1,Jujuy,55.63244789620541,"(50, 60]"
2021,1,La Pampa,81.77676345752207,"(80, 90]"
2021,1,La Rioja,49.80693519079345,"(40, 50]"
2021,1,Mendoza,39.153661528996416,"(30, 40]"
2021,1,Misiones,43.172438905971845,"(40, 50]"
2021,1,Neuquén,66.84208942045272,"(60, 70]"
2021,1,Río Negro,60.87924030325769,"(60, 70]"
2021,1,Salta,53.93001926339093,"(50, 60]"
2021,1,San Juan,39.055194335357605,"(30, 40]"
2021,1,San Luis,81.23730177127507,"(80, 90]"
2021,1,Santa Cruz,41.64783103990742,"(40, 50]"
2021,1,Santa Fe,73.91656407026184,"(70, 80]"
2021,1,Santiago Del Estero,45.67308282365455,"(40, 50]"
2021,1,Tierra Del Fuego,77.34935609177366,"(70, 80]"
2021,1,Tucumán,54.81892254125389,"(50, 60]"
2020,4,Buenos Aires,68.97702220170737,"(60, 70]"
2020,4,Capital Federal,108.31107489043508,
2020,4,Catamarca,49.40688354549741,"(40, 50]"
2020,4,Chaco,43.030788649779105,"(40, 50]"
2020,4,Chubut,68.35189915825622,"(60, 70]"
2020,4,Córdoba,78.07960876338194,"(70, 80]"
2020,4,Corrientes,42.42828394694903,"(40, 50]"
2020,4,Entre Ríos,59.47430676097378,"(50, 60]"
2020,4,Formosa,32.487381907596735,"(30, 40]"
2020,4,Jujuy,53.45659123390888,"(50, 60]"
2020,4,La Pampa,81.76793248945148,"(80, 90]"
2020,4,La Rioja,50.11061211701148,"(50, 60]"
2020,4,Mendoza,38.62957896227819,"(30, 40]"
2020,4,Misiones,42.64411416119227,"(40, 50]"
2020,4,Neuquén,67.00234522048092,"(60, 70]"
2020,4,Río Negro,61.088615480454756,"(60, 70]"
2020,4,Salta,54.04275200147659,"(50, 60]"
2020,4,San Juan,36.32088215575813,"(30, 40]"
2020,4,San Luis,81.67947806105701,"(80, 90]"
2020,4,Santa Cruz,36.99957245908797,"(30, 40]"
2020,4,Santa Fe,73.58073807267776,"(70, 80]"
2020,4,Santiago Del Estero,43.749256620689934,"(40, 50]"
2020,4,Tierra Del Fuego,76.26583496977399,"(70, 80]"
2020,4,Tucumán,54.78340441369959,"(50, 60]"
2020,3,Buenos Aires,67.65618983090923,"(60, 70]"
2020,3,Capital Federal,107.6759011657323,
2020,3,Catamarca,47.15709898417198,"(40, 50]"
2020,3,Chaco,41.54192057806515,"(40, 50]"
2020,3,Chubut,68.34389815720037,"(60, 70]"
2020,3,Córdoba,75.22035723669207,"(70, 80]"
2020,3,Corrientes,41.750749470464434,"(40, 50]"
2020,3,Entre Ríos,58.1901640924315,"(50, 60]"
2020,3,Formosa,31.905623310186538,"(30, 40]"
2020,3,Jujuy,54.04441923820905,"(50, 60]"
2020,3,La Pampa,79.26447706670275,"(70, 80]"
2020,3,La Rioja,50.118113236302676,"(50, 60]"
2020,3,Mendoza,37.348633137232696,"(30, 40]"
2020,3,Misiones,41.60448628544863,"(40, 50]"
2020,3,Neuquén,65.24417025530218,"(60, 70]"
2020,3,Río Negro,57.052405915845014,"(50, 60]"
2020,3,Salta,52.31571212848803,"(50, 60]"
2020,3,San Juan,38.78995525412846,"(30, 40]"
2020,3,San Luis,79.96172209417188,"(70, 80]"
2020,3,Santa Cruz,35.95152890784452,"(30, 40]"
2020,3,Santa Fe,72.12060247348236,"(70, 80]"
2020,3,Santiago Del Estero,43.37593131691913,"(40, 50]"
2020,3,Tierra Del Fuego,76.80909583946696,"(70, 80]"
2020,3,Tucumán,53.2281495112899,"(50, 60]"
2020,2,Buenos Aires,65.2205801358229,"(60, 70]"
2020,2,Capital Federal,106.41480599073645,
2020,2,Catamarca,45.43181818181818,"(40, 50]"
2020,2,Chaco,39.83250279006581,"(30, 40]"
2020,2,Chubut,57.344613387235526,"(50, 60]"
2020,2,Córdoba,72.71358531242393,"(70, 80]"
2020,2,Corrientes,40.30476267979574,"(40, 50]"
2020,2,Entre Ríos,56.538654739709614,"(50, 60]"
2020,2,Formosa,31.1394362262631,"(30, 40]"
2020,2,Jujuy,47.887810227872784,"(40, 50]"
2020,2,La Pampa,76.10158288987562,"(70, 80]"
2020,2,La Rioja,49.83993501839552,"(40, 50]"
2020,2,Mendoza,36.25224342110005,"(30, 40]"
2020,2,Misiones,40.88779600969606,"(40, 50]"
2020,2,Neuquén,63.898469033764314,"(60, 70]"
2020,2,Río Negro,56.369335248791955,"(50, 60]"
2020,2,Salta,51.58158335340357,"(50, 60]"
2020,2,San Juan,35.09485776365026,"(30, 40]"
2020,2,San Luis,78.4096773527651,"(70, 80]"
2020,2,Santa Cruz,35.79262396979603,"(30, 40]"
2020,2,Santa Fe,70.002168637187,"(70, 80]"
2020,2,Santiago Del Estero,43.46716682468362,"(40, 50]"
2020,2,Tierra Del Fuego,76.36948260742473,"(70, 80]"
2020,2,Tucumán,51.78074091030483,"(50, 60]"
2020,1,Buenos Aires,64.32563101743429,"(60, 70]"
2020,1,Capital Federal,105.98017414181909,
2020,1,Catamarca,37.615427687460254,"(30, 40]"
2020,1,Chaco,37.483833369172615,"(30, 40]"
2020,1,Chubut,51.26848941909703,"(50, 60]"
2020,1,Córdoba,70.6880744339108,"(70, 80]"
2020,1,Corrientes,38.729079942230904,"(30, 40]"
2020,1,Entre Ríos,56.12006051437216,"(50, 60]"
2020,1,Formosa,30.228303962606848,"(30, 40]"
2020,1,Jujuy,46.670230639987786,"(40, 50]"
2020,1,La Pampa,75.76678781291396,"(70, 80]"
2020,1,La Rioja,46.346631384166976,"(40, 50]"
2020,1,Mendoza,33.14207670017271,"(30, 40]"
2020,1,Misiones,39.01834755171205,"(30, 40]"
2020,1,Neuquén,61.84749362355069,"(60, 70]"
2020,1,Río Negro,55.11566865962362,"(50, 60]"
2020,1,Salta,49.59568027012866,"(40, 50]"
2020,1,San Juan,32.392292136304725,"(30, 40]"
2020,1,San Luis,76.30854184641933,"(70, 80]"
2020,1,Santa Cruz,35.97427628896549,"(30, 40]"
2020,1,Santa Fe,69.52357940253133,"(60, 70]"
2020,1,Santiago Del Estero,42.466359187991806,"(40, 50]"
2020,1,Tierra Del Fuego,76.06964979018785,"(70, 80]"
2020,1,Tucumán,47.84792325850032,"(40, 50]"
2019,4,Buenos Aires,64.25205288245421,"(60, 70]"
2019,4,Capital Federal,106.24546751041055,
2019,4,Catamarca,36.43842912715547,"(30, 40]"
2019,4,Chaco,36.835478630342415,"(30, 40]"
2019,4,Chubut,51.145017855147124,"(50, 60]"
2019,4,Córdoba,70.48295566244217,"(70, 80]"
2019,4,Corrientes,38.767440989262106,"(30, 40]"
2019,4,Entre Ríos,57.99221691704514,"(50, 60]"
2019,4,Formosa,30.471313480544048,"(30, 40]"
2019,4,Jujuy,45.37754633175065,"(40, 50]"
2019,4,La Pampa,76.92418969170417,"(70, 80]"
2019,4,La Rioja,47.13589011052434,"(40, 50]"
2019,4,Mendoza,33.64903072027183,"(30, 40]"
2019,4,Misiones,39.78923684048622,"(30, 40]"
2019,4,Neuquén,59.35590092822445,"(50, 60]"
2019,4,Río Negro,55.70500968287489,"(50, 60]"
2019,4,Salta,50.35463892238824,"(50, 60]"
2019,4,San Juan,32.85497572815534,"(30, 40]"
2019,4,San Luis,74.92002603481464,"(70, 80]"
2019,4,Santa Cruz,36.71136308535834,"(30, 40]"
2019,4,Santa Fe,69.48235725596862,"(60, 70]"
2019,4,Santiago Del Estero,42.92077382358182,"(40, 50]"
2019,4,Tierra Del Fuego,79.69536136377089,"(70, 80]"
2019,4,Tucumán,47.64902012521289,"(40, 50]"
2019,3,Buenos Aires,69.35630106079125,"(60, 70]"
2019,3,Capital Federal,112.6453878037209,
2019,3,Catamarca,30.883614526737205,"(30, 40]"
2019,3,Chaco,35.8460309754608,"(30, 40]"
2019,3,Chubut,47.56624162293312,"(40, 50]"
2019,3,Córdoba,68.59234901069021,"(60, 70]"
2019,3,Corrientes,38.48535113586719,"(30, 40]"
2019,3,Entre Ríos,57.90009945796624,"(50, 60]"
2019,3,Formosa,30.11243299777749,"(30, 40]"
2019,3,Jujuy,44.322486842913605,"(40, 50]"
2019,3,La Pampa,77.45269423291748,"(70, 80]"
2019,3,La Rioja,47.94290512174643,"(40, 50]"
2019,3,Mendoza,40.73714258735342,"(40, 50]"
2019,3,Misiones,39.33292986744382,"(30, 40]"
2019,3,Neuquén,64.13887269491578,"(60, 70]"
2019,3,Río Negro,63.42470088700958,"(60, 70]"
2019,3,Salta,44.47617792228716,"(40, 50]"
2019,3,San Juan,37.06231303554226,"(30, 40]"
2019,3,San Luis,85.22608876849344,"(80, 90]"
2019,3,Santa Cruz,35.62816097885956,"(30, 40]"
2019,3,Santa Fe,68.87178057593026,"(60, 70]"
2019,3,Santiago Del Estero,55.30391146854541,"(50, 60]"
2019,3,Tierra Del Fuego,96.46210963092378,"(90, 100]"
2019,3,Tucumán,39.487600204016815,"(30, 40]"
2019,2,Buenos Aires,67.84713982374198,"(60, 70]"
2019,2,Capital Federal,110.54556699485231,
2019,2,Catamarca,32.13095022019278,"(30, 40]"
2019,2,Chaco,34.14026097986763,"(30, 40]"
2019,2,Chubut,46.98798413626923,"(40, 50]"
2019,2,Córdoba,68.07130938789848,"(60, 70]"
2019,2,Corrientes,38.15558588418795,"(30, 40]"
2019,2,Entre Ríos,57.47823458872391,"(50, 60]"
2019,2,Formosa,30.418236006943307,"(30, 40]"
2019,2,Jujuy,44.511922790626045,"(40, 50]"
2019,2,La Pampa,77.08313750288404,"(70, 80]"
2019,2,La Rioja,48.704939144243156,"(40, 50]"
2019,2,Mendoza,40.754624235362655,"(40, 50]"
2019,2,Misiones,39.14612554169944,"(30, 40]"
2019,2,Neuquén,63.080964327674394,"(60, 70]"
2019,2,Río Negro,61.0942074999118,"(60, 70]"
2019,2,Salta,41.89319832036978,"(40, 50]"
2019,2,San Juan,35.59971733748176,"(30, 40]"
2019,2,San Luis,81.789994425864,"(80, 90]"
2019,2,Santa Cruz,28.846063055322123,"(20, 30]"
2019,2,Santa Fe,67.42291993321949,"(60, 70]"
2019,2,Santiago Del Estero,52.78997126317105,"(50, 60]"
2019,2,Tierra Del Fuego,94.79803428023493,"(90, 100]"
2019,2,Tucumán,40.13604621420884,"(40, 50]"
2019,1,Buenos Aires,66.24255522736811,"(60, 70]"
2019,1,Capital Federal,109.19616455883845,
2019,1,Catamarca,32.190488956121285,"(30, 40]"
2019,1,Chaco,32.635876579429485,"(30, 40]"
2019,1,Chubut,42.99773633717796,"(40, 50]"
2019,1,Córdoba,65.5173840768055,"(60, 70]"
2019,1,Corrientes,35.13498688698812,"(30, 40]"
2019,1,Entre Ríos,56.78815996169284,"(50, 60]"
2019,1,Formosa,29.677694630431926,"(20, 30]"
2019,1,Jujuy,46.40843874036665,"(40, 50]"
2019,1,La Pampa,76.35457433780647,"(70, 80]"
2019,1,La Rioja,50.184587883262736,"(50, 60]"
2019,1,Mendoza,37.657164970282864,"(30, 40]"
2019,1,Misiones,36.25716826552349,"(30, 40]"
2019,1,Neuquén,58.87800433437489,"(50, 60]"
2019,1,Río Negro,53.57164978100252,"(50, 60]"
2019,1,Salta,40.09834441771615,"(40, 50]"
2019,1,San Juan,31.833058053465464,"(30, 40]"
2019,1,San Luis,67.3379373977716,"(60, 70]"
2019,1,Santa Cruz,23.66765499676892,"(20, 30]"
2019,1,Santa Fe,66.97409094791476,"(60, 70]"
2019,1,Santiago Del Estero,37.519416746003905,"(30, 40]"
2019,1,Tierra Del Fuego,93.37581922721242,"(90, 100]"
2019,1,Tucumán,41.63074443134759,"(40, 50]"
2018,4,Buenos Aires,64.60284663484316,"(60, 70]"
2018,4,Capital Federal,108.27314997057414,
2018,4,Catamarca,32.225346166025346,"(30, 40]"
2018,4,Chaco,32.59096087632982,"(30, 40]"
2018,4,Chubut,42.61093609604538,"(40, 50]"
2018,4,Córdoba,65.08926459112368,"(60, 70]"
2018,4,Corrientes,34.56627656869549,"(30, 40]"
2018,4,Entre Ríos,54.37477348639939,"(50, 60]"
2018,4,Formosa,29.73653915732,"(20, 30]"
2018,4,Jujuy,46.53226639132679,"(40, 50]"
2018,4,La Pampa,73.49404828314209,"(70, 80]"
2018,4,La Rioja,50.347993917417234,"(50, 60]"
2018,4,Mendoza,37.757783845911696,"(30, 40]"
2018,4,Misiones,34.4507488777944,"(30, 40]"
2018,4,Neuquén,59.06916926636779,"(50, 60]"
2018,4,Río Negro,51.86140345426057,"(50, 60]"
2018,4,Salta,39.801610069738146,"(30, 40]"
2018,4,San Juan,31.89625207025579,"(30, 40]"
2018,4,San Luis,67.55045369760039,"(60, 70]"
2018,4,Santa Cruz,23.68919410065612,"(20, 30]"
2018,4,Santa Fe,65.58706886191564,"(60, 70]"
2018,4,Santiago Del Estero,37.40072595129344,"(30, 40]"
2018,4,Tierra Del Fuego,93.59257086207943,"(90, 100]"
2018,4,Tucumán,41.75796963877769,"(40, 50]"
2018,3,Buenos Aires,64.44056759752046,"(60, 70]"
2018,3,Capital Federal,108.44591411021922,
2018,3,Catamarca,32.91594537411041,"(30, 40]"
2018,3,Chaco,32.283100833077576,"(30, 40]"
2018,3,Chubut,56.391745852269025,"(50, 60]"
2018,3,Córdoba,64.24210026029336,"(60, 70]"
2018,3,Corrientes,34.24993887383215,"(30, 40]"
2018,3,Entre Ríos,50.222013858377494,"(50, 60]"
2018,3,Formosa,29.576573428878444,"(20, 30]"
2018,3,Jujuy,23.263700137195517,"(20, 30]"
2018,3,La Pampa,71.75023651844843,"(70, 80]"
2018,3,La Rioja,50.73304318059562,"(50, 60]"
2018,3,Mendoza,37.990597267996215,"(30, 40]"
2018,3,Misiones,32.10366641805902,"(30, 40]"
2018,3,Neuquén,60.48661674396911,"(60, 70]"
2018,3,Río Negro,50.54264808703746,"(50, 60]"
2018,3,Salta,39.42741342068409,"(30, 40]"
2018,3,San Juan,33.05141650392377,"(30, 40]"
2018,3,San Luis,52.35311497551916,"(50, 60]"
2018,3,Santa Cruz,32.72785029455932,"(30, 40]"
2018,3,Santa Fe,63.4096146162309,"(60, 70]"
2018,3,Santiago Del Estero,36.24961697805127,"(30, 40]"
2018,3,Tierra Del Fuego,92.77191839394062,"(90, 100]"
2018,3,Tucumán,41.68101359528755,"(40, 50]"
2018,2,Buenos Aires,62.78226651094991,"(60, 70]"
2018,2,Capital Federal,106.53494128146691,
2018,2,Catamarca,32.8575008674866,"(30, 40]"
2018,2,Chaco,31.251704996034892,"(30, 40]"
2018,2,Chubut,54.90230333735512,"(50, 60]"
2018,2,Córdoba,63.2743661231958,"(60, 70]"
2018,2,Corrientes,33.80975390881165,"(30, 40]"
2018,2,Entre Ríos,49.20261187052838,"(40, 50]"
2018,2,Formosa,29.434226520796997,"(20, 30]"
2018,2,Jujuy,23.432202729854474,"(20, 30]"
